id,description,question_id,order,status,,1 is WINNER
1,1.9,1,1,1,,2 is LOSER
2,2.5,1,2,2,,
3,0.8,1,3,2,,
4,1.1,1,4,2,,
5,147,2,1,2,,
6,231,2,2,1,,
7,245,2,3,2,,
8,213,2,4,2,,
9,21,3,1,2,,
10,15,3,2,2,,
11,19,3,3,1,,
12,14,3,4,2,,
13,20.7,4,1,2,,
14,17.89,4,2,2,,
15,22.35,4,3,2,,
16,24.31,4,4,1,,
17,3.6,5,1,1,,
18,4.5,5,2,2,,
19,2.8,5,3,2,,
20,3.2,5,4,2,,
21,34,6,1,1,,
22,32,6,2,2,,
23,29,6,3,2,,
24,37,6,4,2,,
25,12,7,1,2,,
26,15,7,2,2,,
27,13,7,3,2,,
28,17,7,4,1,,
29,10,8,1,1,,
30,9,8,2,2,,
31,8,8,3,2,,
32,7,8,4,2,,
33,1,9,1,2,,
34,2,9,2,1,,
35,3,9,3,2,,
36,4,9,4,2,,
37,4,10,1,2,,
38,7,10,2,2,,
39,9,10,3,1,,
40,11,10,4,2,,
41,National Park,11,1,1,,
42,JFK Stadium,11,2,2,,
43,Suntrust Park,11,3,2,,
44,Budweiser Field,11,4,2,,
45,Buddy,12,1,2,,
46,Screech,12,2,1,,
47,Ryan W.,12,3,2,,
48,Toggany,12,4,2,,
49,402,13,1,1,,
50,404,13,2,2,,
51,405,13,3,2,,
52,400,13,4,2,,
53,333,14,1,2,,
54,332,14,2,2,,
55,335,14,3,1,,
56,334,14,4,2,,
57,336,15,1,1,,
58,335,15,2,2,,
59,332,15,3,2,,
60,330,15,4,2,,
61,"25,000",16,1,2,,
62,"22,000",16,2,2,,
63,"47,000",16,3,1,,
64,"50,000",16,4,2,,
65,2005,17,1,2,,
66,2007,17,2,2,,
67,2008,17,3,1,,
68,2009,17,4,2,,
69,Princeton 105,18,1,2,,
70,Brilliant,18,2,2,,
71,Sunkist,18,3,2,,
72,Both A and B,18,4,1,,
73,East Wing of the National Gallery of Art,19,1,1,,
74,Peyton Manning's forehead,19,2,2,,
75,The White House,19,3,2,,
76,Netflix,19,4,2,,
77,Bill Clinton,20,1,2,,
78,Atticus Finch ,20,2,2,,
79,George Dubya Bush,20,3,1,,
80,A hot dog ,20,4,2,,