id,description,slate_id,type,order,category
8320,Will the Padres record three or more extra-base hits?,2820,Event,1,Offense
8321,Will the Padres pitching staff combine to give up less than 4 earned runs?,2820,Event,2,Defense
8322,Will the Padres win?,2820,Event,3,Outcome
8323,Will the Padres hit 2 or more homeruns?,2821,Event,1,Offense
8324,Will the Padres pitching staff record a save?,2821,Event,2,Defense
8325,Will the Padres win?,2821,Event,3,Outcome
8326,Will the Padres hitters record 8 or more hits?,2822,Event,1,Offense
8327,Will the Padres have a player record 2 or more RBIs?,2822,Event,2,Offense
8328,Will the Padres win?,2822,Event,3,Outcome
8329,Will the Padres score 4 or more runs?,2823,Event,1,Offense
8330,Will the Padres steal 1 or more bases?,2823,Event,2,Offense
8331,Will the Padres win?,2823,Event,3,Outcome
8332,Will any Padres player record 3 or more hits?,2824,Event,1,Offense
8333,Will the Padres hitters record 2 or more doubles?,2824,Event,2,Offense
8334,Will the Padres win?,2824,Event,3,Outcome
8335,Will the Padres hitters record 1 or more triples?,2825,Event,1,Offense
8336,Will the Padres hitters draw 2 or more walks?,2825,Event,2,Offense
8337,Will the Padres win?,2825,Event,3,Outcome
8338,Will the Padres record three or more extra-base hits?,2826,Event,1,Offense
8339,Will the Padres pitching staff combine to give up less than 4 earned runs?,2826,Event,2,Defense
8340,Will the Padres win?,2826,Event,3,Outcome
8341,Will the Padres hit 2 or more homeruns?,2827,Event,1,Offense
8342,Will the Padres pitching staff record a save?,2827,Event,2,Defense
8343,Will the Padres win?,2827,Event,3,Outcome
8344,Will the Padres hitters record 8 or more hits?,2828,Event,1,Offense
8345,Will the Padres have a player record 2 or more RBIs?,2828,Event,2,Offense
8346,Will the Padres win?,2828,Event,3,Outcome
8347,Will the Padres score 4 or more runs?,2829,Event,1,Offense
8348,Will the Padres steal 1 or more bases?,2829,Event,2,Offense
8349,Will the Padres win?,2829,Event,3,Outcome
8350,Will any Padres player record 3 or more hits?,2830,Event,1,Offense
8351,Will the Padres hitters record 2 or more doubles?,2830,Event,2,Offense
8352,Will the Padres win?,2830,Event,3,Outcome
8353,Will the Padres hitters record 1 or more triples?,2831,Event,1,Offense
8354,Will the Padres hitters draw 2 or more walks?,2831,Event,2,Offense
8355,Will the Padres win?,2831,Event,3,Outcome
8356,Will the Padres record three or more extra-base hits?,2832,Event,1,Offense
8357,Will the Padres pitching staff combine to give up less than 4 earned runs?,2832,Event,2,Defense
8358,Will the Padres win?,2832,Event,3,Outcome